time,lat1,lon1,lat2,lon2,received_rssi,received_snr
1718405891,47.60641098022461,-122.3286209,47.50893434,-122.3582117,-111,-1.799999952
1718406032,47.60950469970703,-122.3246307,47.50893434,-122.3582117,-116,-7.0
1718405730,47.591217041015625,-122.3206482,47.50893434,-122.3582117,-111,-5.800000191
1718405384,47.56598281860352,-122.3205948,47.50893434,-122.3582117,-110,-5.199999809
1718405718,47.58890914916992,-122.320282,47.50893434,-122.3582117,-96,-1.5
1718405571,47.57503890991211,-122.3196793,47.50893434,-122.3582117,-112,-10.5
1718405641,47.57908248901367,-122.3189163,47.50893434,-122.3582117,-111,-16.5
1718405296,47.56093978881836,-122.3214569,47.51250611,-122.3329719,-116,-8.5
1718405238,47.558387756347656,-122.3208618,47.51250611,-122.3329719,-120,-10.5
1718405730,47.591217041015625,-122.3206482,47.51250611,-122.3329719,-124,-14.0
1718405795,47.597755432128906,-122.3202133,47.51250611,-122.3329719,-108,-5.5
1718405788,47.597354888916016,-122.320076,47.51250611,-122.3329719,-117,-6.800000191
1718405475,47.569923400878906,-122.3199844,47.51250611,-122.3329719,-119,-10.19999981
1718405494,47.57086944580078,-122.3198929,47.51250611,-122.3329719,-120,-10.19999981
1718405763,47.59649658203125,-122.319809,47.51250611,-122.3329719,-122,-12.19999981
1718405135,47.55325698852539,-122.3176117,47.51250611,-122.3329719,-112,-12.0
1718405129,47.55294418334961,-122.3174362,47.51250611,-122.3329719,-111,-11.5
1718405103,47.551788330078125,-122.3166275,47.51250611,-122.3329719,-114,-7.5
1718405096,47.55155944824219,-122.3163986,47.51250611,-122.3329719,-113,-4.5
1718405052,47.55057907104492,-122.3150635,47.51250611,-122.3329719,-113,-6.0
1718405027,47.55006027,-122.3141861,47.51250611,-122.3329719,-115,-3.5
1718405013,47.549686431884766,-122.3135529,47.51250611,-122.3329719,-111,-2.0
1718405000,47.54930114746094,-122.312912,47.51250611,-122.3329719,-119,-6.800000191
1718404969,47.54835129,-122.3113861,47.51250611,-122.3329719,-112,-9.199999809
1718404943,47.54756927490234,-122.3101349,47.51250611,-122.3329719,-101,6.0
1718404930,47.54721832275391,-122.3095932,47.51250611,-122.3329719,-104,3.0
1718404923,47.54711532592773,-122.3094406,47.51250611,-122.3329719,-103,5.5
1718404885,47.54636001586914,-122.3083878,47.51250611,-122.3329719,-105,2.799999952316284
1718404841,47.54448699951172,-122.3063126,47.51250611,-122.3329719,-116,-8.199999809
1718404834,47.54436111450195,-122.3061829,47.51250611,-122.3329719,-103,4.199999809265137
1718404827,47.544036865234375,-122.3058395,47.51250611,-122.3329719,-99,4.5
1718404821,47.54339218139648,-122.3051605,47.51250611,-122.3329719,-113,-4.800000191
1718404815,47.54248809814453,-122.3041916,47.51250611,-122.3329719,-110,-3.0
