time,sent_lat,sent_lon,hotspot_lat,hotspot_lon,received_rssi,received_snr
1718237848,37.57896805,-122.0482941,37.56854674,-122.0459098,-123,-12.5
1718237790,37.5750618,-122.0469589,37.56854674,-122.0459098,-117,-6.199999809
1718237732,37.57141113,-122.0455933,37.56854674,-122.0459098,-109,2.799999952316284
1718237688,37.56946945,-122.0443878,37.56854674,-122.0459098,-102,6.5
1718237502,37.54261398,-122.0197449,37.56854674,-122.0459098,-121,-9.5
1718238130,37.60203934,-122.0631943,37.59160898,-122.0610969,-115,-8.800000191
1718237688,37.56946945,-122.0443878,37.59160898,-122.0610969,-118,-10.19999981
1718237668,37.56761551,-122.0427399,37.59160898,-122.0610969,-119,-12
1718304034,37.80517578,-122.370224,37.6587865,-122.0332592,-115,-5.800000191
1718239263,37.67542648,-122.1156235,37.68192949,-122.087357,-114,-11.19999981
1718239263,37.67542648,-122.1156235,37.68597574,-122.095978,-112,-7
1718240627,37.76978683,-122.2212296,37.70026725,-122.4969421,-116,-9
1718240454,37.76793289,-122.2198944,37.70026725,-122.4969421,-123,-15
1718240025,37.75928879,-122.2127075,37.71651748,-122.402513,-118,-10
1718240659,37.77027512,-122.2216568,37.76946106,-122.2166542,-119,-12.19999981
1718240537,37.76881027,-122.2205353,37.76946106,-122.2166542,-116,-10.80000019
1718240499,37.7682991,-122.2201538,37.76946106,-122.2166542,-113,4.5
1718240249,37.76475906,-122.2175064,37.76946106,-122.2166542,-115,-3.799999952
1718240224,37.7644043,-122.2171936,37.76946106,-122.2166542,-118,-7.800000191
1718240000,37.75866699,-122.2121506,37.76946106,-122.2166542,-118,-6.5
1718304482,37.77305984,-122.4236984,37.77432818,-122.4294285,-116,-5.800000191
1718314538,37.77208328,-122.4064407,37.77432818,-122.4294285,-126,-15.5
1718314238,37.7689209,-122.4079437,37.77889788,-122.4042526,-129,-11.80000019
1718314577,37.77259445,-122.4065552,37.77889788,-122.4042526,-117,-3.799999952
1718314833,37.77697754,-122.4032059,37.77889788,-122.4042526,-91,8.199999809265137
1718314903,37.77796555,-122.401413,37.77889788,-122.4042526,-97,7.5
1718314903,37.77796555,-122.401413,37.77889788,-122.4042526,-105,7.199999809265137
