time,lat1,lon1,lat2,lon2,received_rssi,received_snr
1718393186,45.38157272338867,-122.7527618,45.3925985,-122.761377,-119,-2.5
1718393211,45.38770294189453,-122.7505188,45.3925985,-122.761377,-129,-14.80000019
1718393218,45.389442443847656,-122.7498627,45.3925985,-122.761377,-132,-14.19999981
1718393224,45.39092254638672,-122.7492828,45.39343632,-122.7537611,-116,-2.799999952
1718393410,45.44226074,-122.7410507,45.44725327,-122.7348007,-125,-9.800000191
1718393410,45.44226074,-122.7410507,45.44725327,-122.7348007,-126,-8.5
1718393442,45.447174072265625,-122.7311096,45.44725327,-122.7348007,-120,-7.5
1718393768,45.47201156616211,-122.6772842,45.49598065,-122.6281408,-120,-15.80000019
1718394031,45.50319290161133,-122.6735382,45.50949698,-122.6621327,-129,-13.5
1718393833,45.48698425292969,-122.6787415,45.51304272,-122.6325517,-127,-14.19999981
1718393768,45.47201156616211,-122.6772842,45.51304272,-122.6325517,-122,-8.800000191
1718394102,45.5084343,-122.6683807,45.51342062,-122.6970643,-109,-6.0
1718394236,45.53588104248047,-122.667511,45.51943994,-122.6749711,-121,-15.5
1718394127,45.51185226,-122.6673355,45.51943994,-122.6749711,-83,9.800000190734863
1718394121,45.51095581054688,-122.6668625,45.51943994,-122.6749711,-83,11.0
1718394210,45.53030776977539,-122.6651993,45.51943994,-122.6749711,-100,4.5
1718393237,45.39421844482422,-122.747963,45.39333862531055,-122.740105,-118,-3.200000048
1718393250,45.39776611328125,-122.7465363,45.39333862531055,-122.740105,-122,-6.800000191
1718393263,45.401363372802734,-122.7451477,45.39333862531055,-122.740105,-121,-6.199999809
1718393346,45.42473983764648,-122.7440567,45.40885491868829,-122.7464323,-117,-10.80000019
1718393186,45.38157272338867,-122.7527618,45.410343059605225,-122.779426,-127,-14.19999981
1718393243,45.39586639404297,-122.7472992,45.410343059605225,-122.779426,-114,-2.5
1718393263,45.401363372802734,-122.7451477,45.410343059605225,-122.779426,-105,1.5
1718393249,45.39776611328125,-122.7465363,45.41244015925764,-122.7418069,-119,-12.80000019
1718393276,45.40494537353516,-122.744194,45.41244015925764,-122.7418069,-99,3.5
1718393353,45.42669677734375,-122.7440567,45.41244015925764,-122.7418069,-119,-15.5
1718393333,45.42142105102539,-122.7440338,45.41244015925764,-122.7418069,-114,-10.0
1718393237,45.39421844482422,-122.747963,45.41420466214548,-122.8080923,-127,-15.0
1718393263,45.401363372802734,-122.7451477,45.41420466214548,-122.8080923,-116,-5.199999809
1718393269,45.40296936035156,-122.7446518,45.41420466214548,-122.8080923,-123,-10.19999981
1718393353,45.42669677734375,-122.7440567,45.41420466214548,-122.8080923,-122,-10.5
1718393442,45.447174072265625,-122.7311096,45.41420466214548,-122.8080923,-125,-12.80000019
1718393416,45.44366836547852,-122.7397766,45.42140201649779,-122.7712394,-125,-8.800000191
1718393449,45.44885254,-122.7297516,45.42140201649779,-122.7712394,-127,-13.19999981
1718393372,45.43214035,-122.7440796,45.42284296182828,-122.7673114,-119,-5.5
1718393449,45.44885254,-122.7297516,45.42284296182828,-122.7673114,-124,-8.199999809
1718393269,45.40296936035156,-122.7446518,45.42662788516584,-122.7765089,-120,-11.5
1718393307,45.41390228271485,-122.7438812,45.42662788516584,-122.7765089,-114,-5.5
1718393429,45.44538497924805,-122.7350159,45.426866941549015,-122.796538,-126,-7.0
1718393230,45.39242172241211,-122.7486877,45.43079217806127,-122.7128838,-115,-4.5
1718393237,45.39421844482422,-122.747963,45.43079217806127,-122.7128838,-126,-14.80000019
1718393237,45.39421844482422,-122.747963,45.43087357042047,-122.7240636,-121,-16.5
1718393353,45.42669677734375,-122.7440567,45.43268520148608,-122.7428174,-114,2.799999952316284
1718393359,45.42837524414063,-122.7440491,45.43268520148608,-122.7428174,-97,7.5
1718393282,45.40676498413086,-122.7439194,45.43268520148608,-122.7428174,-117,-8.199999809
1718393314,45.41585922241211,-122.7439499,45.43464641507936,-122.7384602,-117,-15.5
1718393230,45.39242172241211,-122.7486877,45.43624749782225,-122.7132798,-130,-16.20000076
1718393545,45.460636138916016,-122.7041016,45.43624749782225,-122.7132798,-130,-15.0
1718393199,45.38479995727539,-122.7515488,45.43671090749473,-122.7265833,-122,-8.5
1718393205,45.38624572753906,-122.75103,45.43671090749473,-122.7265833,-118,-2.200000048
1718393230,45.39242172241211,-122.7486877,45.43671090749473,-122.7265833,-112,0.0
1718393250,45.39776611328125,-122.7465363,45.43671090749473,-122.7265833,-123,-5.800000191
1718393257,45.39968490600586,-122.7457733,45.43671090749473,-122.7265833,-122,-8.0
1718393339,45.42308044433594,-122.7440414,45.43671090749473,-122.7265833,-120,-2.799999952
1718393480,45.45351409912109,-122.7211685,45.440895832410845,-122.7109011,-130,-16.0
1718393436,45.44606399536133,-122.7328644,45.44673573608363,-122.7736384,-124,-14.80000019
1718394083,45.50657653808594,-122.6715012,45.44910669040828,-122.606841,-129,-17.5
1718393378,45.43384552001953,-122.7441406,45.44929507721136,-122.7569883,-129,-13.80000019
1718393249,45.39776611328125,-122.7465363,45.44971371251958,-122.5543782,-126,-14.19999981
1718393589,45.46375656,-122.6987152,45.44971371251958,-122.5543782,-124,-12.0
1718393634,45.46557235717773,-122.6950912,45.44971371251958,-122.5543782,-126,-13.5
1718393685,45.46883773803711,-122.6907425,45.44971371251958,-122.5543782,-119,-8.800000191
1718393698,45.469913482666016,-122.6891861,45.44971371251958,-122.5543782,-121,-10.0
1718393711,45.470252990722656,-122.687355,45.44971371251958,-122.5543782,-114,-4.199999809
