time,lat1,lon1,lat2,lon2,received_rssi,received_snr
1718230340,37.25606155395508,-121.7943115,37.21188055,-121.8606334,-113,-5.800000191
1718230277,37.24476242,-121.773735,37.24106257,-121.7611473,-115,-5.0
1718230270,37.24360275268555,-121.7717209,37.24106257,-121.7611473,-118,-7.800000191
1718230251,37.24027633666992,-121.7656631,37.24106257,-121.7611473,-102,7.800000190734863
1718231712,37.40787887573242,-122.0195541,37.26029008,-122.0475736,-127,-11.80000019
1718231558,37.41101837158203,-122.0182724,37.26029008,-122.0475736,-125,-11.0
1718231519,37.41164779663086,-122.0177078,37.26029008,-122.0475736,-124,-12.5
1718231506,37.411651611328125,-122.0177002,37.26029008,-122.0475736,-128,-14.19999981
1718235784,37.41419982910156,-121.9808578,37.26029008,-122.0475736,-131,-15.80000019
1718235964,37.41741943359375,-121.9732437,37.26029008,-122.0475736,-124,-10.19999981
1718236021,37.41849136352539,-121.970314,37.26029008,-122.0475736,-126,-12.5
1718236047,37.41873550415039,-121.9685898,37.26029008,-122.0475736,-125,-13.0
1718236618,37.456668853759766,-121.9233627,37.26029008,-122.0475736,-121,-10.0
1718230366,37.26155853271485,-121.7998199,37.26145466,-121.8251349,-119,-6.800000191
1718230417,37.274356842041016,-121.8042068,37.26909186,-121.8014895,-109,-5.0
1718230398,37.26944351196289,-121.8026123,37.26909186,-121.8014895,-83,7.5
1718230385,37.26618576049805,-121.8015518,37.26909186,-121.8014895,-89,9.0
1718230379,37.264747619628906,-121.8010864,37.26909186,-121.8014895,-96,5.800000190734863
1718230373,37.263282775878906,-121.8006058,37.26909186,-121.8014895,-106,-2.5
1718230366,37.26155853271485,-121.7998199,37.26909186,-121.8014895,-117,-14.5
1718230500,37.29538345336914,-121.810051,37.27440759,-121.8170172,-96,-1.5
1718230462,37.28538895,-121.8092575,37.27440759,-121.8170172,-79,6.199999809265137
1718230456,37.2837142944336,-121.8090515,37.27440759,-121.8170172,-79,4.199999809265137
1718230443,37.280574798583984,-121.8074799,37.27440759,-121.8170172,-83,4.800000190734863
1718230379,37.264747619628906,-121.8010864,37.27440759,-121.8170172,-105,-8.5
1718230360,37.260040283203125,-121.7988434,37.27440759,-121.8170172,-105,-8.199999809
1718230347,37.25714874267578,-121.7959366,37.27440759,-121.8170172,-108,-8.5
1718230327,37.25371551513672,-121.7900162,37.27440759,-121.8170172,-108,-11.0
1718230296,37.24822235107422,-121.7799301,37.27440759,-121.8170172,-111,-14.5
1718230251,37.24027633666992,-121.7656631,37.27440759,-121.8170172,-119,-13.19999981
1718230571,37.31087112426758,-121.8240585,37.2969548,-121.8321713,-121,-6.800000191
1718230507,37.29718017578125,-121.8109436,37.29891837,-121.8145201,-102,3.0
1718230565,37.30946731567383,-121.8226929,37.30110346,-121.8459935,-132,-16.0
1718230629,37.32378387451172,-121.8365555,37.32179624,-121.8412237,-112,3.5
1718230623,37.32257843017578,-121.8353958,37.32429185,-121.835628,-99,8.0
1718230616,37.32107925415039,-121.8339462,37.32429185,-121.835628,-97,10.199999809265137
1718230590,37.31535339355469,-121.8283997,37.32429185,-121.835628,-116,-4.199999809
1718230776,37.35427474975586,-121.8661041,37.33519632,-121.8866166,-127,-14.0
1718230764,37.35187911987305,-121.8634338,37.33761223,-121.7866992,-134,-17.20000076
1718231506,37.411651611328125,-122.0177002,37.34092017,-122.1086597,-126,-14.19999981
1718235855,37.415905,-121.976799,37.34092017,-122.1086597,-130,-17.79999924
1718237175,37.49763107299805,-121.9549103,37.34092017,-122.1086597,-124,-13.80000019
1718230757,37.35044479370117,-121.8620453,37.36387751,-121.8347242,-123,-8.800000191
1718230596,37.31676864624024,-121.8297577,37.37011533,-121.8207275,-114,-7.199999809
1718231129,37.38689041137695,-121.9805222,37.37837624,-121.9442889,-124,-12.19999981
1718235829,37.415321350097656,-121.9781799,37.37837624,-121.9442889,-117,-8.800000191
1718235861,37.41591644287109,-121.9767685,37.37837624,-121.9442889,-120,-11.19999981
1718235886,37.41630935668945,-121.9758682,37.37837624,-121.9442889,-115,-8.0
1718231103,37.38425827026367,-121.9714355,37.37837624,-121.9442889,-123,-13.19999981
1718236021,37.41849136352539,-121.970314,37.37837624,-121.9442889,-119,-8.0
